input;output
Pemprov DKI Ingatkan Kendaraan Tak Lulus Uji Emisi Bakal Ditilang;Negative
"Heru Budi Resmikan Taman ASEAN, Ada Ornamen Simbol Persahabatan Negara";Positive
"Laporkan Rocky Gerung atas Dugaan Menghina Jokowi, Ferdinand Hutahaean Diperiksa Polda Metro";Neutral
Razman Minta Pemeriksaan Diundur Terkait Kasus Pencemaran Nama Baik;Neutral
"6 Warga Papua Meninggal, Wapres Minta Bencana Kekeringan Diantisipasi";Negative
"Ichsan Loulembah, Jurnalis yang Aktivis";Neutral
"Ditangkap Terkait Narkoba, Karenina Anderson Disebut Pemakai";Negative
PSI: Kami Senang Front Runner Capres Mau Kunjungi Bocil Ingusan;Positive
Monas Buka atau Tidak pada Awal 2023;Neutral
Turis AS dan Cilacap Jadi Pengunjung Pertama Candi Borobudur Tahun 2023;Positive
"Meriahnya Suasana Tahun Baru 2023 di TMII, Panggung Utama Ramai";Positive
"7 Aktivitas Wisata di Museum Polri, Naik Sepeda Ontel di Mesin Waku";Positive
"9 Perayaan Tahun Baru Termegah di Dunia, Bertabur Pesta Kembang Api";Positive
Bamsoet Ungkap Capaian IMI Gelar Kejurnas Olahraga Mobil-Motor di 2022;Positive
Red Bull: Ferrari dan Mercedes Akan Bangkit di F1 2023;Neutral
"Please Yamaha, Quartararo Sudah Mentok Banget Musim Lalu";Neutral
Gregoria Senang Bisa Pecah Telur Atas He Bing Jiao;Positive
Malaysia Open 2023: Dejan/Gloria Melangkah ke 16 Besar;Positive
Pemakaman Paus Benediktus Bakal Berlangsung Sederhana;Neutral
China vs AS dan Sekutu Ancang-ancang Siaga Tempur;Negative
"Menteri Israel ke Masjid Al-Aqsa, Hamas Wanti-wanti Perang";Negative
VIDEO: Detik-detik Jet Tempur China Pepet Pesawat AS di LCS;Negative
Terungkap Detik-detik usai Puluhan Tentara Rusia Tewas Dihajar Ukraina;Negative
"3 Beras Terbaik untuk Cegah Kenaikan Gula Darah, Ganti Nasi Putih Anda";Neutral
"30 Ucapan Selamat Tahun Baru 2023, Penuh Semangat Buka Lembaran Baru";Positive
7 Ciri-Ciri Pasangan Setia Mencintai dengan Tulus;Positive
11 Makanan Penyubur Sperma agar Istri Cepat Hamil;Positive
"13 Inspirasi Gaya Rambut Pria di 2023, Keren dan Rapi";Positive
Cara Membuat Steak Daging Sapi dan Saus yang Mudah serta Praktis;Neutral
"5 Makanan yang Diminati Masyarakat Indonesia pada 2022, Akankah Berlanjut? ";Neutral
"Resep Ayam Panggang Yoghurt, Tekstur Empuk dan Rasa Manis Asam";Positive
"Resep Chicken Salad Barbeque, Manfaatkan Sisa Saus Tahun Baruan";Neutral
"Cara Olah Sisa Bakaran Tahun Baru, Buat Chicken Burger Barbeque";Positive
20 Contoh Kalimat Petunjuk;Neutral
"Jangan Tertukar, Ini Pengertian Generasi X, Z, Milenial, dan Baby Boomers";Neutral
3 Jenis Karya Ilmiah dan Penjelasannya;Neutral
Soal dan Jawaban Mencari Persamaan Garis yang Melalui Dua Titik;Neutral
Soal dan Jawaban Nilai Rata-rata;Neutral
5.000 Wisatawan Ramaikan Konser Pergantian Tahun 2023 Besutan Injourney;Positive
"JJP Hadirkan Dialog tentang Kesehatan Mental ""Doing Good for Others Week""";Positive
"Pasok Energi Bersih, PLN Bangun 59 Anjungan Listrik Mandiri di Pelabuhan Rakyat pada 2022";Positive
"Realme 10 Pro+ 5G, Smartphone Kelas Menengah dengan Fitur Premium";Neutral
"Ini Dia Pemenang Bolaphoria, Apakah Kamu Salah Satunya?";Positive
Berburu Diskon Biar Nggak Boncos Kejar Resolusi Sehat di Tahun Baru;Positive
"Tahun Baru 2023, Harga BBM VIVO Turun!";Negative
Begini Skema Penetapan Upah yang Diatur Jokowi Dalam Perppu Cipta Kerja;Neutral
"Pertamina Mau Umumkan Harga BBM Baru Sore Nanti, Naik Atau Turun?";Neutral
Pegawai BSI Sujud Syukur Serentak;Positive
"'Hadiah' 2023, Tarif Tol Tangerang-Merak Akan Naik per 3 Januari Besok";Negative
Jokowi: Kita Berharap di 2023 Ekonomi Masih di Atas 5 Persen;Positive
Meneropong Pergerakan Saham di 2023;Neutral
Biaya Umrah Bisa Naik Imbas Tarif Hotel di Makkah Melesat 300 Persen;Negative
"Harga BBM Vivo Turun di Tahun Baru, Kembaran Pertalite Jadi Rp12 Ribu";Positive
Asal-usul Nama Bulan dalam Kalender Masehi;Neutral
"Sinusitis Hingga ke Telinga Sering Berulang, Bagaimana Mengatasinya?";Neutral
5 Makanan untuk Mengatasi Kelelahan dan Menambah Energi ;Neutral
Meneropong Perang Antariksa: Film Versus Realita;Neutral
Apakah Mineral Paling Langka di Bumi?;Neutral
20 Kalimat Afirmasi Diri untuk Membuat Kita Tetap Semangat;Positive
"Serupa tapi Tak Sama, Ini Bedanya King Cobra Vs Cobra";Neutral
6 Manfaat Minyak Kemiri untuk Rambut dan Cara Membuatnya;Positive
Deretan Kegiatan Menarik di Hari Pertama Tahun 2023 ;Positive
"7 Makanan Pembawa Keberuntungan di Tahun 2023, Wajib Coba!";Positive
Mengenal Tanda-tanda Burnout dan Cara Mengatasinya;Neutral
"7 Manfaat Vitamin B7, Meningkatkan Metabolisme dan Tampilan Awet Muda";Positive
Angka Kebutuhan Vitamin B7 dan Sumbernya;Neutral
5 Cara Mudah Menjaga Kesehatan Vagina;Positive
Mengenal Penyebab dan Cara Mengatasi Sperma Encer;Neutral
Alasan Ronaldo Gabung Al Nassr: 'Patah Hati' dengan Madrid;Neutral
Klasemen Liga Inggris: Arsenal Kabur dari Kejaran Man City;Neutral
Situasi yang Bisa Membuat Indonesia Tersingkir dari Piala AFF 2022;Negative
Kapten Filipina Ingin Jegal Indonesia ke Semifinal Piala AFF 2022;Neutral
SMASHOT: Sengit Duel Penutup Tahun;Neutral
Ini yang Diucapkan Ganjar saat Minta Gibran Meninggalkannya;Neutral
"Ganjar Temui Utusan Pemerintah Queensland, Bahas Peningkatan ...";Neutral
Program Kapal Listrik Ganjar Dinilai Layak Diterapkan Secara Nasional;Positive
Ungkapan Jokowi soal Pemimpin 'Lari Maraton' Dinilai Mengarah ke Ganjar;Neutral
Momen Ganjar Mendadak Minta Gibran Meninggalkannya saat Kunjungi Solo;Neutral
"Sinopsis Island, Drama Pertarungan Lawan Iblis di Pulau Jeju";Neutral
"7 Rekomendasi Film Action Jepang, Terbaru Ada Pure Japanese";Positive
"Rekomendasi 11 Film Tayang 2023, Ant-Man 3 hingga Dune Part 2";Positive
"Ridwan Kamil Disebut Bakal Main Sinetron Religi, Tayang Ramadan";Positive
Rekomendasi 7 Film Baru Tayang Januari 2023;Positive
"[POPULER OTOMOTIF] Pecah Ban saat Berkendara di Tol, Ini yang Harus Dilakukan | Sistem One Way di Serpong dan Pamulang Berlaku Efektif Awal 2023";Neutral
Honda Harus Punya Motor Bagus buat Marquez;Neutral
Begini 3 Cara Biar Hemat Pakai Motor Listrik;Neutral
"Yamaha Rilis Motor Listrik NEO’S, Lebih Murah dari NMAX";Positive
"Ingat Lagi, Ini 10 Jalan Tol Baru yang Beroperasi di 2022";Positive
"Hasil Man City Vs Everton 1-1: 6 Menit 21 Detik Terbuang, Citizens Gagal Menang";Negative
"Hasil dan Klasemen Liga Inggris: Arsenal Menangi Drama 6 Gol, Man City Tertahan";Neutral
"Usai Boyong Cristiano Ronaldo, Al Nassr Menang dan ke Puncak Klasemen Liga Arab Saudi";Positive
Top Skor Liga Inggris: Haaland Nyaman di Puncak Sambil Ukir Rekor ;Neutral
"Fajar/Rian Peringkat Satu Dunia, 2022 Jadi Tahun Terbaik";Positive
Netanyahu is Back;Neutral
"Tahun Baru, Zelensky Sebut Keinginan Satu-satunya Menang Perang";Positive
"Drone Kamikaze Rusia yang Dikirim ke Ukraina Bertuliskan ""Selamat Tahun Baru""";Neutral
"Brasil Sambut Pemimpin Baru, Lula Bersumpah Lakukan Perubahan Drastis";Positive
"Bocah Ini Dapat Hadiah Ulang Tahun Nissan GT-R R35, Harganya Gila";Positive
"5 Beasiswa S1-S3 2023 bagi Perempuan, Tunjangan Lengkap";Positive
Kenali Perbedaan Sekolah Luar Biasa dan Sekolah Inklusi;Neutral
Catatan Awal Tahun: Belajar Mendidik Tanpa Mematikan Nalar;Positive
"7 Beasiswa S1-S3 Awal Tahun 2023, Beri Kuliah Gratis dan Uang Saku";Positive
"Punya Banyak Manfaat, Ini 5 Cara Memupuk Rasa Percaya Diri Anak Sejak Usia Dini ";Positive
Kenapa 1 Januari Dianggap Awal Tahun Baru?;Neutral
"10 Manfaat Kayu Manis untuk Kesehatan, Turunkan Gula Darah hingga Cegah Kanker";Positive
"Mengenal Rafflesia Arnoldii, Bunga Terbesar dan Terbau di Dunia dari Indonesia";Positive
"Sering Tak Disadari, Ini Tanda dan Gejala Anda Mengidap Kolesterol Tinggi";Neutral
"Patah Hati Fajar ""Sad Boy"" Tak Setragis Nasib Pembersih Sungai di Jakarta";Negative
Rencana Pemerintah Pungut Cukai Plastik dan Minuman Manis di 2023;Neutral
"Harga BBM Vivo dan BP-AKR Turun, Cek Rinciannya";Neutral
"Puncak Libur Tahun Baru 2023, Angkasa Pura I Layani 176.625 Penumpang";Positive
"Antisipasi Curah Hujan Tinggi, AP I Terapkan Mitigasi di 15 Bandara Ini";Neutral
"Awali 2023 Vivo dan BP-AKR Turunkan Harga BBM, Bagaimana dengan Pertamina? ";Neutral
"Libur Natal dan Tahun Baru, 8,3 Juta Orang Bepergian via Angkutan Umum";Positive
5 Cara Cepat Bersihkan Rumah Usai Libur Tahun Baru;Neutral
Ingat! Puncak Arus Balik Tahun Baru Dimulai Pada 1 Januari 2023;Neutral
Bagian Rumah yang Bisa Dibersihkan Menggunakan Cuka dan Baking Soda;Neutral
Tips Menjaga dan Membersihkan Perabot Kayu di Rumah;Neutral
Apa yang Dimaksud Sumber Sejarah Tertulis?;Neutral
Pencetus Kalender Masehi;Neutral
Siapa Itu Aung San Suu Kyi?;Neutral
"Banjaratma, Nukilan Sejarah Penting Industri Gula";Neutral
Sejarah dan Asal-usul Ludruk;Neutral
"Realisasi Nilai Ekspor Kabupaten Batang Capai 50,61 Juta Dollar AS";Positive
Ingin SUkses Berbisnis Studio Musik? Simak 10 Tips Ini;Neutral
6 Tips Sukses Memulai Bisnis Gorengan;Positive
Cerita Claudya Christiani Membangun Bisnis Make Up Artist Sejak Kuliah;Positive
6 Cara Identifikasi Pesaing Sebelum Buka Usaha;Neutral
NASA Ungkap 'Wajah Cantik' Musim Dingin di Mars;Positive
Pakar Temukan Tanaman 'Pemakan Teman' di Jepang;Neutral
"Cara Ganti Background Zoom Meeting di Android, iPhone, dan Laptop";Neutral
"Daftar Game Tersembunyi di Google, Gratis, Lawas, dan Bikin Nostalgia";Positive
"Tak Ada Cuaca Ekstrem, BMKG Klaim TMC Efektif";Positive
Mantu Jokowi dan Prabowo Helat Pertemuan di Hotel Makassar;Neutral
Puja puji Prabowo ke Jokowi di Forum Tiga Capres di Makassar;Neutral
"NasDem Tak Undang Jokowi ke Acara di GBK, Alasan Acara Internal";Neutral
AHY: Kami Doakan Presiden Jokowi Bisa Akhiri Masa Bakti dengan Baik;Positive
[HOAKS] Hadiah Mobil dalam Rangka Tahun Baru 2023 dari Toyota;Negative
Kaleidoskop Hoaks 2022: Beragam Muslihat Giveaway di Medsos;Negative
Benarkah WHO Menetapkan Covid-19 sebagai Virus Musiman?;Neutral
Hoaks Seputar Penawaran Hadiah di Momen Natal dan Tahun Baru 2023;Negative
[HOAKS] Angkatan Udara Indonesia Menyerang Malaysia;Negative
Cara Membuat Kalender Sendiri secara Online lewat Canva;Neutral
Fitur Sederhana iPhone Selamatkan Pengendara Mobil dari Dasar Jurang;Positive
Apple Raup Pendapatan Tertinggi untuk Pasar Smartphone Global;Positive
"Apple Putar Otak Bikin Strategi Harga Baru, iPhone 15 Plus Bakal Lebih Murah?";Neutral
"Apple Naikkan Harga Ganti Baterai iPhone, iPad, dan MacBook";Negative
"Buntut Aksi Penikaman di Sekolah, Pemprov Kalsel Minta Siswa Diperiksa Pakai ""Metal Detector""";Negative
Polisi Belum Tetapkan Tersangka KasuS Perzinaan Ibu dan Menantu di Banten;Negative
"Mengenal Ponpes As’adiyah di Pulau Sebatik, Pesantren di Perbatasan RI-Malaysia yang Bakal Dikunjungi Wapres RI Ma’ruf Amin ";Positive
"Pilunya Nasib Penjaga Sekolah di Blora, Kerja 24 Jam dengan Banyak Tugas, Gajinya Hanya Rp 350.000 Per Bulan";Negative
"Melihat Tradisi Malala, Meramu Minyak Tradisional Khas Sumbawa Saat Muharam";Neutral
Harapan Tulus di Tahun 2023: Makin Banyak Orang yang Sehat Jiwa dan Raganya;Positive
[POPULER HYPE] Lee Jong Suk dan IU Pacaran | Kondisi Terkini Indra Bekti | Nenek Raffi Ahmad Meninggal;Neutral
"Mamih Popon, Nenek Raffi Ahmad Meninggal Dunia ";Neutral
Amy Qanita Kisahkan Detik-detik Mamih Popon Berpulang;Neutral
5 Film yang Tayang di Televisi 1 Januari 2023 ;Neutral
"Ketum LDII ke Istana, Undang Jokowi Buka Rakernas-Bahas Pemilu 2024 Damai";Positive
"Kontribusi untuk Golkar Dipertanyakan, Bahlil Beri Jawaban Menohok";Positive
Syarief Hasan Ingatkan Pentingnya SNI untuk Jamin Kualitas Produk UMKM;Positive
Alasan Shane Chat Pacar 'Mau Temani Dandy Fighting': Biar Dibilang Keren;Negative
"Pakar Tak Setuju SIM Berlaku Seumur Hidup, Pengawasan ke Pengendara Turun";Negative
Polri Belum Terima Pengajuan Penangguhan Penahanan Panji Gumilang;Neutral
Ma'ruf Amin Minta Santri Al Zaytun Dibina Agar Tak Menyimpang;Positive
VIDEO: Momen Jokowi Jajal Lagi Uji Coba LRT Jabodebek ke Dukuh Atas;Positive
Jokowi Jajal Uji Coba LRT Harjamukti-Dukuh Atas Bareng RK dan Erick;Positive
"Mudah dan Aman, Cek Saldo di BRImo Kini Bisa Lewat Chat Banking";Positive
"Pesan Jokowi soal Cawapres Ganjar: Lihat Rekam Jejak, Keluarga, dan Asal-Usulnya";Neutral
"Usai Hadiri Acara Ultah AHY, Puan Sebut Bakal Lakukan Pertemuan Lanjutan";Neutral
"Soal Pengganti Dirinya, Jokowi: Bukan Siapa Presidennya, tapi yang Berani dan Konsisten ";Positive
Pakar Sebut TNI Tak Bisa Jadi Pengacara Sipil Hanya Berlandaskan SEMA;Neutral
"Warga Eks Kebon Harjo Kini Huni Rusun Semarang Hebat, Mbak Ita: Ini Berkat Dukungan Mas Vino";Positive
6 Tips dan Trik untuk Tampilan Rumah Cantik dan Mewah;Positive
Cara Menanam dan Merawat Tanaman Lidah Mertua;Neutral
Cara Mengusir Nyamuk di Pot Tanaman Teras Rumah;Neutral
"Jangan Gunakan Sabun Cuci Piring di Mesin Cuci, Kenapa?";Neutral
"6 Barang yang Tidak Boleh Disimpan di Ruang Bawah Tanah, Ini Alasannya";Neutral
Jokowi Bantah Bahas Politik dengan Sandiaga di Istana Kemarin;Neutral
"Jokowi Buka Gelar Batik Nusantara 2023, Sandiaga-Kapolri Hadir";Positive
Sandiaga Uno Beber Sebab Coldplay Cuma Konser Sehari di Jakarta;Neutral
Jokowi Klaim Tak Bahas Politik dengan Prabowo dan Sandiaga di Istana;Neutral
Khofifah Tolak Tanggapi Tawaran Sandiaga untuk jadi Timses Ganjar;Neutral
Presiden Jokowi Ajak Masyarakat Syukuri Situasi Bangsa Indonesia Kembali Pulih;Positive
"Kunjungi Pasar Parungkuda, Presiden Jokowi Tinjau Harga ...";Neutral
"Ganjar dan Prabowo Terus Dekat dengan Jokowi, Anies: Sesuatu yang Normal - Kompas.com";Neutral
Anies Jawab Tudingan Akan Setop IKN Jokowi Kalau Jadi Presiden;Neutral
Anies Jawab Tudingan Akan Setop IKN Jokowi Kalau Jadi Presiden;Neutral
Prabowo: Kita Tak Malu-malu Katakan Bagian Tim Pemerintahan Jokowi;Positive
"PAN-Golkar Dukung Prabowo, Zulhas: Tak Ada Arahan dari Jokowi";Neutral
Zulhas: Perjuangan Prabowo Harus Dituntaskan Demi Lanjutkan Capaian Jokowi;Positive
"Golkar-PAN Merapat ke KKIR, PKS: Bravo Pak Jokowi, Eh Bravo Pak Prabowo";Neutral
Relawan Jokowi Dapat Info Cawapres Prabowo Mengerucut ke Erick dan Gibran;Neutral
"Pantun Bamsoet di Depan Jokowi: Ganjar, Prabowo, atau Anies, Pembangunan Harus Dilanjutkan";Positive
"Survei Capres Voxpol: Prabowo 36,5%, Ganjar 30,4% dan Anies 26,4%";Neutral
Hasil 22 Survei Terbaru Capres: Anies Vs Ganjar Vs Prabowo;Neutral
Ganjar Pranowo Bakal Sat-set Lanjutkan Pembangunan Era Jokowi;Positive
"Bamsoet Sebut Nama Ganjar Pranowo dan Anies Baswedan di Pidatonya, Singgung Soal Ini";Neutral
Anies Komentari Kedekatan Ganjar-Prabowo dengan Jokowi;Neutral
Anies Jawab Tudingan Akan Setop IKN Jokowi Kalau Jadi Presiden;Neutral
"Seperti Jokowi, Anies Lempar Kuis Berhadiah Sepeda saat Pergelaran Wayang PKS";Positive
Demokrat Berpeluang Merapat ke Koalisi Gerindra jika AHY Tak Dipilih Anies Jadi Cawapres - Kompas.com;Neutral
Anies Baswedan dan AHY Nonton Wayang Kulit Bareng di DPP PKS;Positive
"Survei Cawapres Litbang Kompas: Tidak Ada AHY dan Gibran di 3 Besar, Erick, Sandiaga dan Emil Ketat";Neutral
"Sandiaga Ingin Bertemu AHY, Demokrat: Ajak Dukung Ganjar-Anies Atau Bentuk Poros Baru?";Neutral
"173 Hari Menuju Pilpres 2024: Survei Cawapres Prabowo-Ganjar-Anies, Publik Pilih Gibran-Sandiaga-AHY";Neutral
"PPP Gulirkan Duet Sandiaga-AHY, PKS Akui Banyak Godaan Bermunculan";Neutral
Jejak Elektabilitas Sandiaga dan AHY di Bursa Cawapres;Neutral
Erick Tohir ingin sengketa antar BUMN diselesaikan sehari;Positive
"Pantai Aloha PIK 2 Resmi Beroperasi, Erick Tohir Harap Jadi Kekuatan Ekosistem Pariwisata";Positive
Personil Polsek Banjar Kawal Kegiatan Jalan Sehat Bersama Erick Tohir dalam rangka mrriahkan HUT RI ke 78;Positive
Iming-Iming Erick Tohir ke Timnas U-23 yang Berlaga di AFF U-23;Neutral
"Dipasangkan dengan Prabowo Subianto, Pengusaha Kadin Dukung Erick Tohir Sebagai Cawapres";Neutral
NasDem soal Kans Ganjar-Anies: Selalu Terbuka Bergandengan Tangan;Neutral
"Soal Ganjar Berduet dengan Anies, Said PDI-P: Orang Lagi Mimpi, Enggak Boleh?";Neutral
"PDIP Bayangkan Ganjar-Anies Bergabung, PD: Kami Punya Jalan Sendiri";Neutral
Presiden PKS soal Peluang Duet Anies-Ganjar: Sangat Mungkin Terjadi;Neutral
"BEM UI Undang Anies, Ganjar, Prabowo Debat di Kampus: Jika Punya Nyali";Neutral
Prabowo Saksikan MoU Pengadaan 24 Pesawat Tempur F-15EX;Positive
"BEM UI Undang Anies, Ganjar, Prabowo Debat di Kampus: Jika Punya Nyali";Neutral
"Suara PSI Terbelah Antara Dukung Ganjar, Prabowo atau Menjomblo";Neutral
"Undang Anies-Prabowo-Ganjar, BEM FISIP UI Bakal Uji dan Pertanyakan Kesiapan Bacapres";Neutral
"GRPG Deklarasi Dukung Prabowo, Siap Menangkan di Pilpres 2024";Positive
"Ditanya Pilih AHY atau Khofifah, Anies Respons Begini";Neutral
"Jawab Isu Penjegalannya Terkait Pilpres 2024, Anies: Saya Tidak Merasa Dijegal";Neutral
Anies soal Polusi Udara: Dari Cerobong PLTU Terbawa Angin ke Jakarta;Neutral
"Hasto PDIP Bilang Polusi karena Jakarta Lama Tak Diurus, NasDem Bela Anies";Negative
Anies Tak Merasa Ada Upaya Penjegalan Dirinya Terkait Pilpres;Neutral
"AHY Kritik Jokowi, Ganjar Bilang Begini";Neutral
"NasDem Balik Tanya AHY: Kalau Nggak Ditunjuk Cawapres, Apakah Akan Pergi?";Neutral
KPK Balas Tudingan AHY soal Pemberantasan Korupsi Tajam ke Lawan tapi Tumpul ke Kawan;Neutral
"""Serangan"" Tajam AHY ke Pemerintahan Jokowi Usai Demokrat Mesra dengan PDI-P...";Negative
"Ucapkan Selamat Tahun Baru 2023, AHY: Hal Baik Kita Tingkatkan, yang Kurang Diperbaiki";Positive
PSI Tutup Pintu Dukung Anies di 2024: Tak Pernah Bicara Program Jokowi;Negative
Kala Jokowi Dengar MA Batalkan Hukuman Mati Sambo: Kita Harus Hormati;Neutral
Harga Motor Listrik Honda Lebih Mahal dari yang Pernah Disampaikan ke Jokowi;Negative
[HOAKS] Jokowi Kembali Tunjuk Ahok sebagai Gubernur DKI Jakarta;Negative
[HOAKS] Demo Mahasiswa Tuntut Presiden Jokowi Turun;Negative
Potret Jokowi Ajak Prabowo dan Erick Blusukan Bareng ke Pasar Bululawang;Positive
Bupati Bandung Apresasi Jokowi dan Erick Thohir meski Gagal Jadi Tuan Rumah Piala Dunia U-20;Positive
Jokowi Minta Erick Thohir Utamakan Korban Kebakaran Depo Pertamina;Positive
PKB Tak Ambil Pusing Prabowo Duduk Semeja Bareng Erick Thohir-Jokowi;Neutral
"Jokowi Ajak Prabowo dan Erick Blusukan, Bantah Pasangkan untuk Pilpres";Neutral
"Harta dalam LHKPN Naik Jadi Rp 10,9 T, Ini Jurus Sandiaga Kelola Pundi-pundinya";Positive
"LRT Mau Dibangun di Bali, Sandiaga: Layak Masuk Proyek Strategis";Positive
"Banyak yang Minta Tiket Coldplay, Sandiaga Ngaku Ikut 'War'";Positive
Sandiaga Uno Temui Wanita di Malang yang Viral Keluhkan Harga Tiket Pesawat Mahal;Positive
"Kolaborasi dengan Pemprov Kalbar, Sandiaga Kucurkan Modal Buat UMKM";Positive
"Survei Indikator, Elektabilitas Anies-AHY Disalip Ganjar-Erick ";Neutral
"Jokowi Dulu Lempar Sinyal Dukungan ke Prabowo dan Ganjar, Kini ""Goda"" Erick Thohir hingga AHY";Neutral
"Waketum Hanura: Saya Yakin Mbak Puan Iseng, Enggak Mungkin Ganjar-AHY";Neutral
"Respons Pertemuan Puan-AHY, Ganjar Pranowo: Bagus Itu";Neutral
Jawaban Puan soal Pasangkan AHY dengan Ganjar: Masih Kita Cermati;Neutral
"Hashim Sempat Ragu Bawa Budiman Sudjatmiko ke Prabowo, Ingat Hoaks Ratna Sarumpaet";Neutral
Hashim Djojohadikusumo: Prabowo Bukan Petugas Partai;Neutral
Prabowo Janji Perjuangkan Kesejahteraan Veteran Perang;Positive
"Baliho Prabowo-Gibran Terpampang di Labuan Bajo, Dipasang 3 Hari Lalu";Neutral
"Gerindra: Kalau Prabowo Presiden, Insyaallah Bawa Berkah bagi Rakyat Kecil";Positive
Momen Anies Bersama AHY dan JK Hadiri Milad PKS di Istora Senayan;Neutral
AHY Bakal Jemput Anies Pulang dari Tanah Suci Malam Ini;Neutral
Ini Baliho Anies-AHY 'Perubahan & Perbaikan' yang Ramai Bermunculan;Neutral
Anies Buka Suara soal Baliho 'Perubahan & Perbaikan' Bareng AHY;Neutral
"Nobar Pertandingan Voli Indonesia Vs Vietnam Bareng AHY, Anies: Seru Sekali";Positive
AHY Kritik Perppu Ciptaker: Jangan Selesaikan Masalah dengan Masalah!;Neutral
AHY soal Deklarasi Koalisi Perubahan Bulan Ini: Insya Allah!;Neutral
AHY Bahas KUHP Hingga Lukas Enembe;Neutral
Momen Anies-AHY Akrab Duduk Sebelahan Nonton Konser Dewa 19;Positive
AHY di Depan Paloh: Semoga Koalisi Perubahan Bisa Berlayar dan Menang;Positive
"Jokowi Anggarkan Rp 108 Triliun untuk Ketahanan Pangan, Salah Satunya buat ""Food Estate""";Positive
Jokowi Anggarkan Dana Perlindungan Sosial Rp 493 Triliun untuk Tekan Kemiskinan;Positive
"Jokowi Tagetkan Pertumbuhan Ekonomi RI 2024 Capai 5,2 Persen";Positive
Jokowi: Pemulihan Ekonomi yang Cepat Membawa Indonesia Naik Kelas;Positive
"Jokowi: Pengangguran Berhasil Turun, Jadi 5,45 Persen pada 2023";Positive
Erick Thohir: Presiden Jokowi Putuskan Kereta Cepat Gratis 3 Bulan;Positive
Puan Respons Santai Jokowi Makan Bareng Prabowo dan Erick;Neutral
"Melihat Momen Kebersamaan Jokowi, Prabowo dan Erick Thohir";Positive
Jokowi Tak Masalah Erick Thohir dan Amali Rangkap Jabatan di PSSI;Neutral
"Jokowi Dulu Lempar Sinyal Dukungan ke Prabowo dan Ganjar, Kini ""Goda"" Erick Thohir hingga AHY";Neutral
"Gagal Menang ""War"" Tiket Coldplay, Sandiaga: Kita Usahakan Konser Tambah 1 Hari...";Negative
"Indonesia Siap Sambut Turis China, Sandiaga: Asal Patuh Prokes";Positive
Sandiaga Sebut Harga Paket Wisata Candi Borobudur Mulai Rp 100.000;Positive
Sandiaga Sebut Penyebab Harga Tiket Pesawat Tak Kunjung Turun;Neutral
"Luhut Larang Pembangunan Hotel Bintang 3 di Danau Toba, Sandiaga Ungkap Alasannya";Neutral
Terbengkalai! Taman Dukuh Atas Warisan Anies Rusak Parah;Negative
Anies Banggakan Koalisinya: Tak Banyak Atraksi tapi Sudah Punya Piagam;Positive
Prabowo soal Ucapan 'Bajingan Tolol': Rocky Keliru;Negative
Perwira Setuju Program Prabowo Kasih Makan Dan Susu Gratis;Positive
"Cerita Ganjar “Ngamuk” karena Seteru Redistribusi Tanah di Blora, Kelahi dengan ""Tim Sukses""";Negative
Program Kapal Listrik Ganjar Dinilai Layak Diterapkan Secara Nasional;Positive
Megawati: Saya Sampai Bilang Pak Jokowi, Udah Bubarin Aja KPK;Negative
Kala Langkah Megawati Terhenti demi Ingatkan Ibu-ibu soal Stunting;Positive
Polda Metro Terima 2 Laporan soal Rocky Gerung Diduga Hina Jokowi, Kini Lakukan Penyelidikan;Negative
Jokowi Janjikan Bonus ke Peraih Medali SEA Games 2023: Nanti Dihitung;Positive
Airlangga Dilaporkan ke Mahkamah Partai, Golkar Tepis Ada Pelanggaran;Negative
Pedenya Golkar Menangkan Appi Nyaleg untuk Tes Suara di Pilwalkot Makassar;Positive
Raksasa Otomotif Amerika Bangun Smelter Ramah Lingkungan di Indonesia;Positive
Dukung Rocky Gerung, Massa Bakar Bendera PDIP di Cikini;Negative
PDIP Tak Setuju Tarif TransJakarta Naik: Harus Ada Argumen Kuat;Positive
Menteri Nasdem Tersandung KPK Pakar Pertarungan Politik Halus tapi Brutal dan Sadis;Negative
Sekjen Nasdem: Pertemuan Pak Presiden dengan Pak Surya Paloh Bagus;Positive
Politikus PDIP Tuding PSI Bohong Dukung Ganjar: Bullshit!;Negative
PSI Acungi Jempol Densus 88 Polri di Kasus Karyawan KAI Tersangka Teroris;Positive
KPK Sebut Uang Suap Eks Bupati Pemalang Mengalir ke Muktamar PPP;Negative
Dagangan Ludes, PKL Dapat Berkah Lomba Organisasi Pemuda PPP;Positive
Anies Dihujat Usai Ketemu Eks Istri Ahok, Politisi Demokrat Pasang Badan: Narasinya Sadis Sekali;Negative
Demokrat Ungkap Alasan Dukung Prabowo: Kami Memilih yang Akan Menang;Positive
Minta Anak Muda Gunakan Hak Pilih, AHY: Penentu Kemajuan Bangsa;Positive
AHY: Kalau PKS, Nasdem, dan Demokrat Kritis, Dibilang Musuh Negara...;Negative
Anies Minta Doa ke Ulama Banten soal Pencapresan, Bicara Rute Penuh Tantangan;Positive
Jokowi Ogah Dikaitkan dengan Pencapresan Partai: Jangan Dikit-dikit Istana!;Negative
PKS Yakin Elektabilitas Anies Naik Setelah Bacawapres Diumumkan;Positive
Hadir di Rumah Waketum PPP, Sandiaga Uno Pasrah jika Dirinya Tidak Dipilih sebagai Bacawapres;Negative
